SKU;Style;Manufacturer;Name;Colour;Size;Farbtyp;Groessentyp;UVP;Weight KG;Status;Packshot;EAN;Manufacturer SKU
33000300199;33.0003;Atlantis;Atlantis | Zoom;white;onesize;colors;all;3,16;0,07;ACTUAL;47BD0EE3-BCA7-43C0-8D05-7D3D2D502F86.jpg;8028661335448;ZOOMBI
33000300299;33.0003;Atlantis;Atlantis | Zoom;black;onesize;colors;all;3,16;0,07;ACTUAL;D16E22FC-373D-4D11-9EA9-CB751C4BD45B.jpg;8028661335486;ZOOMNR
33000300399;33.0003;Atlantis;Atlantis | Zoom;navy;onesize;colors;all;3,16;0,07;ACTUAL;8FE95127-E1BF-4B57-93C7-3000DFDE4287.jpg;8028661335493;ZOOMNV
33000300499;33.0003;Atlantis;Atlantis | Zoom;red;onesize;colors;all;3,16;0,07;SELLOUT;91E71A2B-C38A-4065-B54B-D18FCF27C1D9.jpg;8028661335516;ZOOMRO
33000303399;33.0003;Atlantis;Atlantis | Zoom;green;onesize;colors;all;3,16;0,07;ACTUAL;BAFFD738-2AD1-4EB2-B981-3CA1DC510A24.jpg;8028661335547;ZOOMVE
33000305099;33.0003;Atlantis;Atlantis | Zoom;royal;onesize;colors;all;3,16;0,07;ACTUAL;C734421F-4419-4379-8C86-BB6F87BC95C8.jpg;8028661335530;ZOOMRY
33000320099;33.0003;Atlantis;Atlantis | Zoom;yellow;onesize;colors;all;3,16;0,07;SELLOUT;060ECA13-57F0-4A1F-A321-7A90A7186CCC.jpg;8028661335462;ZOOMGI
33000323599;33.0003;Atlantis;Atlantis | Zoom;orange;onesize;colors;all;3,16;0,07;ACTUAL;F203F128-4E0F-4ED7-A7A5-AAC065BC1085.jpg;8028661335431;ZOOMAR
33000355599;33.0003;Atlantis;Atlantis | Zoom;khaki;onesize;colors;all;3,16;0,07;ACTUAL;82765778-6EB2-462B-B789-29492722ACF5.jpg;8028661335479;ZOOMKA
33000431799;33.0004;Atlantis;Atlantis | Zoom Piping Sandwich;grey/red;onesize;colors;all;3,51;0,08;ACTUAL;71A7EB92-7F82-4470-8B14-F7134D326A5C.jpg;8028661335592;ZOPIGR
33000433299;33.0004;Atlantis;Atlantis | Zoom Piping Sandwich;khaki/burgundy;onesize;colors;all;3,51;0,08;ACTUAL;38D60368-B1B8-4A82-A334-69876C1677DA.jpg;8028661335608;ZOPIKA
33000439599;33.0004;Atlantis;Atlantis | Zoom Piping Sandwich;orange/navy;onesize;colors;all;3,51;0,08;ACTUAL;A4239542-FC68-4324-955D-9ABB53F9A70C.jpg;8028661335554;ZOPIAR
33000441399;33.0004;Atlantis;Atlantis | Zoom Piping Sandwich;pink/white;onesize;colors;all;3,51;0,08;SELLOUT;79D662E7-6C91-4C0A-8757-A783F2CEF3C3.jpg;8028661335646;ZOPIRS
33000479599;33.0004;Atlantis;Atlantis | Zoom Piping Sandwich;yellow/navy;onesize;colors;all;3,51;0,08;SELLOUT;0100A599-3598-4276-8A6A-A8F187453919.jpg;8028661335585;ZOPIGI
33000484499;33.0004;Atlantis;Atlantis | Zoom Piping Sandwich;green/white;onesize;colors;all;3,51;0,08;ACTUAL;269E153F-7E57-4C00-BAFF-F5F7A4796564.jpg;8028661335660;ZOPIVE
33000488899;33.0004;Atlantis;Atlantis | Zoom Piping Sandwich;royal/white;onesize;colors;all;3,51;0,08;ACTUAL;AF03F592-10C2-4AF5-8FA7-8625F1079DC6.jpg;8028661335653;ZOPIRY
33000490899;33.0004;Atlantis;Atlantis | Zoom Piping Sandwich;white/navy;onesize;colors;all;3,51;0,08;ACTUAL;48D7B56E-2A09-4A84-8BBC-15612F99901C.jpg;8028661335578;ZOPIBI
33000494199;33.0004;Atlantis;Atlantis | Zoom Piping Sandwich;red/white;onesize;colors;all;3,51;0,08;ACTUAL;735228EC-6C6F-4F3A-B7B4-AC0D78ED0E2D.jpg;8028661335639;ZOPIRO
33000495999;33.0004;Atlantis;Atlantis | Zoom Piping Sandwich;light blue/white;onesize;colors;all;3,51;0,08;SELLOUT;A4D2D01F-B252-4E88-9EE8-1F8D0F7D0871.jpg;8028661335561;ZOPIAZ
33000496399;33.0004;Atlantis;Atlantis | Zoom Piping Sandwich;navy/white;onesize;colors;all;3,51;0,08;ACTUAL;268C136A-9639-45B9-8BF3-FD3B3A65F11F.jpg;8028661335622;ZOPINV
33000498099;33.0004;Atlantis;Atlantis | Zoom Piping Sandwich;black/white;onesize;colors;all;3,51;0,08;ACTUAL;8140F9A2-B009-41A8-A6BA-1D380A196004.jpg;8028661335615;ZOPINR
33000522199;33.0005;Atlantis;Atlantis | Liberty Sandwich;burgundy/natural;onesize;colors;all;3,67;0,09;ACTUAL;470FA3F0-CAB2-4CD3-97F7-FBA4DB002968.jpg;8028661160101;LISABO
33000531899;33.0005;Atlantis;Atlantis | Liberty Sandwich;grey/white;onesize;colors;all;3,67;0,09;ACTUAL;5F1F8689-8703-4600-8A34-59C88916D49B.jpg;8028661160125;LISAGR
33000533399;33.0005;Atlantis;Atlantis | Liberty Sandwich;khaki/khaki;onesize;colors;all;3,67;0,09;ACTUAL;B607CEEB-BCFE-4B71-91D8-6DA308F39142.jpg;8028661160163;LISAKAKA
33000533499;33.0005;Atlantis;Atlantis | Liberty Sandwich;khaki/navy;onesize;colors;all;3,67;0,09;ACTUAL;40BB231D-1310-41E7-85D3-4DEAE024B9B3.jpg;8028661160156;LISAKA
33000534399;33.0005;Atlantis;Atlantis | Liberty Sandwich;light green/white;onesize;colors;all;3,67;0,09;ACTUAL;25C57689-D4C7-4CEB-9EC6-4408CE777762.jpg;8028661368439;LISAVECH
33000541399;33.0005;Atlantis;Atlantis | Liberty Sandwich;pink/white;onesize;colors;all;3,67;0,09;ACTUAL;18888415-9EA4-494F-BDC0-D668AE74E9AD.jpg;8028661160293;LISARS
33000544399;33.0005;Atlantis;Atlantis | Liberty Sandwich;red/navy/red;onesize;colors;all;3,67;0,09;ACTUAL;B1307AFD-1A64-4118-AFCA-AA69AB817915.jpg;8028661160286;LISARONV
33000554499;33.0005;Atlantis;Atlantis | Liberty Sandwich;olive/natural;onesize;colors;all;3,67;0,09;ACTUAL;E4C29616-845C-4F27-954A-99907815B1C3.jpg;8028661160262;LISAOL
